sample1,,0,1 mg mL,,EM-260 0,1,,EM-260 0,01,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
525,0.08925502002,525,0.01578714512,525,0.002515543951,525,0.001016358379,
524,0.0894420892,524,0.01582344063,524,0.002766033635,524,0.001097682631,
523,0.08947065473,523,0.0156216016,523,0.002358703408,523,0.000789929356,
522,0.08993103355,522,0.0158121381,522,0.00266819587,522,0.001177075552,
521,0.08967971057,521,0.01555540692,521,0.002737795003,521,0.001046716934,
520,0.09039533883,520,0.01588967629,520,0.002756056143,520,0.001012829598,
519,0.09038794041,519,0.01537804399,519,0.002691012342,519,0.0009947972139,
518,0.09092952311,518,0.01571665891,518,0.003043439006,518,0.0012673866,
517,0.0906790942,517,0.01540435385,517,0.00264702132,517,0.00132873829,
516,0.09090615809,516,0.01562232617,516,0.002652126132,516,0.001183668384,
515,0.09098958969,515,0.01564835571,515,0.002922813175,515,0.001033068285,
514,0.09139368683,514,0.01571206935,514,0.003192104166,514,0.001185900765,
513,0.09149957448,513,0.01578164287,513,0.002737482311,513,0.0009984555654,
512,0.0915222019,512,0.01535672322,512,0.002619832056,512,0.001308018458,
511,0.09171847254,511,0.01581683569,511,0.002725213068,511,0.001227822853,
510,0.09204462171,510,0.01561663765,510,0.002846253337,510,0.001001672819,
509,0.0924276337,509,0.01597939245,509,0.003080874216,509,0.001407679869,
508,0.09234882891,508,0.01540582906,508,0.002790340222,508,0.001251680078,
507,0.09231030941,507,0.0155619001,507,0.002953982912,507,0.001327440026,
506,0.09246635437,506,0.01562136039,506,0.002927764552,506,0.001144683338,
505,0.09244444966,505,0.01558996551,505,0.002780153882,505,0.0009435582324,
504,0.09270243347,504,0.01578124054,504,0.003082099603,504,0.001122103655,
503,0.09267391264,503,0.01534653269,503,0.002908062888,503,0.001007847954,
502,0.09264523536,502,0.01569679752,502,0.003055743407,502,0.001030681073,
501,0.09261473268,501,0.0156363342,501,0.002960602753,501,0.001286624582,
500,0.09223908186,500,0.01585928164,500,0.003143629991,500,0.001149017713,
499,0.09292238951,499,0.01575589925,499,0.00311708753,499,0.001558929565,
498,0.09296967834,498,0.01558041386,498,0.003111116821,498,0.001108997618,
497,0.0928889811,497,0.01566429622,497,0.003139432054,497,0.001356703695,
496,0.09320994467,496,0.01569832675,496,0.003211427713,496,0.001452246681,
495,0.09347259253,495,0.01574986055,495,0.003381333547,495,0.001151301782,
494,0.09346915781,494,0.01553842425,494,0.003214531112,494,0.001573478105,
493,0.09352117032,493,0.01547594462,493,0.003389003687,493,0.001383684226,
492,0.09313802421,492,0.01514333393,492,0.003133878345,492,0.001189301023,
491,0.09344283491,491,0.0155481901,491,0.003711789381,491,0.001335203648,
490,0.09324132651,490,0.01541529689,490,0.003482907312,490,0.001335099805,
489,0.09299744666,489,0.01479983609,489,0.003253571922,489,0.001324999263,
488,0.09294723719,488,0.01512548234,488,0.00367698865,488,0.001487155329,
487,0.09313677251,487,0.01511363592,487,0.003664144548,487,0.001423080335,
486,0.0938263163,486,0.01479737181,486,0.003846580628,486,0.001780405524,
485,0.09376524389,485,0.01472112723,485,0.003475653008,485,0.001605070778,
484,0.09358576685,484,0.01472774148,484,0.00339516066,484,0.001534250216,
483,0.09380366653,483,0.01450655051,483,0.003826576052,483,0.001420769026,
482,0.09419829398,482,0.01497841068,482,0.003871626919,482,0.00165675173,
481,0.09350158274,481,0.01486749575,481,0.003941001371,481,0.001644253149,
480,0.09373067319,480,0.01520683803,480,0.004210271407,480,0.001310199383,
479,0.09314986318,479,0.01483133435,479,0.004019034561,479,0.001370518352,
478,0.09267061204,478,0.01528169401,478,0.003991210368,478,0.001597198425,
477,0.0927079469,477,0.01535607968,477,0.004265923053,477,0.001662884257,
476,0.09203934669,476,0.01523976028,476,0.003989564721,476,0.001410484663,
475,0.09284352511,475,0.01554762665,475,0.00389278261,475,0.001738507999,
474,0.09184177965,474,0.01506065018,474,0.003853396978,474,0.001324505894,
473,0.09206151962,473,0.01554891467,473,0.004248094745,473,0.001247240813,
472,0.09252990037,472,0.01602163911,472,0.004432894289,472,0.001386514865,
471,0.09279050678,471,0.01654624008,471,0.004403684288,471,0.001850538421,
470,0.09329272807,470,0.01646839641,470,0.004522211384,470,0.001391448895,
469,0.09395969659,469,0.01687196083,469,0.004444192164,469,0.001698017702,
468,0.09428470582,468,0.01722275838,468,0.004673869349,468,0.00162370014,
467,0.09453628957,467,0.01717842929,467,0.0045568184,467,0.001525391941,
466,0.09549870342,466,0.01735426486,466,0.004799196497,466,0.001811025548,
